question_id,category,question
Q-035,ai|model_safety,Do you perform model red-teaming and safety evaluations?
Q-036,legal|terms,Will you accept buyer paper without exceptions?
Q-037,security|monitoring,Do you provide 24/7 security monitoring?
Q-038,product|roadmap,Can roadmap features be committed in the RFP response?
Q-039,compliance|audit,Can customers audit your controls annually?
Q-040,privacy|cross_border,Do you support restrictions on cross-border data transfers?
Q-041,caiq|a&a,"Are audit and assurance policies, procedures, and standards established, documented,
approved, communicated, applied, evaluated, and maintained?"
Q-042,caiq|a&a,"Are audit and assurance policies, procedures, and standards reviewed and updated
at least annually, or upon significant changes?"
Q-043,caiq|a&a,"Are independent audit and assurance assessments conducted according to relevant
standards at least annually?"
Q-044,caiq|a&a,"Are independent audit and assurance assessments performed according to risk-based
plans and policies, and in response to significant changes or emerging risks?"
Q-045,caiq|a&a,"Is compliance verified regarding all relevant standards, regulations, legal/contractual,
and statutory requirements applicable to the audit?"
Q-046,caiq|a&a,"Is an audit management process defined and implemented to support audit planning,
risk analysis, security control assessments, conclusions, remediation schedules,
report generation, and reviews of past reports and supporting evidence and aligned 
with relevant auditing standards?"
Q-047,caiq|a&a,"Is a risk-based corrective action plan to remediate audit findings established,
documented, approved, communicated, applied, evaluated, and maintained?"
Q-048,caiq|a&a,"Is the remediation status of audit findings regularly reviewed and reported to relevant
stakeholders?"
Q-049,caiq|ais,"Are application security policies and procedures established, documented, approved, 
communicated, applied, evaluated, and maintained?"
Q-050,caiq|ais,"Are application security policies and procedures reviewed and updated at least
annually, or upon any significant changes?"
Q-051,caiq|ais,"Are baseline requirements to secure applications established, documented,
and maintained?"
Q-052,caiq|ais,"Are technical and operational metrics defined and implemented according to
business objectives, security requirements, and compliance obligations?"
Q-053,caiq|ais,"Is a secure SDLC process defined and implemented for application requirements analysis, 
planning, design, development, testing, deployment, and operation per organizationally 
designed security requirements?"
Q-054,caiq|ais,"Does the testing strategy outline criteria to accept new information systems, upgrades, 
and new versions while ensuring application security, compliance adherence, and meeting 
organizational delivery goals?"
Q-055,caiq|ais,Is testing automated when applicable and possible?
Q-056,caiq|ais,"Are strategies and capabilities established and implemented to deploy application
code in a secure, standardized, and compliant manner?"
Q-057,caiq|ais,Is the deployment and integration of application code automated where possible?
Q-058,caiq|ais,Are application security vulnerabilities remediated following defined processes?
Q-059,caiq|ais,"Is the remediation of application security vulnerabilities automated when
possible?"
Q-060,caiq|ais,"Are processes, procedures, and technical measures defined and implemented to secure APIs?"
Q-061,caiq|ais,"Are reviews and updates for any improvements conducted at least annually, or upon significant changes?"
Q-062,caiq|bcr,"Are business continuity management and operational resilience policies and
procedures established, documented, approved, communicated, applied, evaluated,
and maintained?"
Q-063,caiq|bcr,"Are the policies and procedures reviewed and updated at least annually, or upon significant changes?"
Q-064,caiq|bcr,"Are criteria for developing business continuity and operational resiliency
strategies and capabilities established based on business disruption and risk
impacts?"
Q-065,caiq|bcr,"Are the risk assessment and impact analysis reviewed and updated at least annually 
or upon significant changes?"
Q-066,caiq|bcr,"Are strategies being established to reduce the impact of business disruptions, and 
are resiliency and recovery from business disruptions being improved?"
Q-067,caiq|bcr,"Are operational resilience strategies and capability results incorporated
to establish, document, approve, communicate, apply, evaluate, and maintain a
business continuity plan?"
Q-068,caiq|bcr,"Is relevant documentation developed, identified, and acquired both internally and 
from external parties, to support business continuity and operational resilience plans?"
Q-069,caiq|bcr,"Is business continuity and operational resilience documentation available
to authorized stakeholders?"
Q-070,caiq|bcr,"Is business continuity and operational resilience documentation reviewed at least annually 
or upon significant changes?"
Q-071,caiq|bcr,"Are the business continuity and operational resilience plans exercised and
tested at least annually and when significant changes occur?"
Q-072,caiq|bcr,"Are communication channels with all relevant stakeholders established and maintained 
during business continuity and resilience procedures?"
Q-073,caiq|bcr,Are backups performed periodically?
Q-074,caiq|bcr,"Is the confidentiality, integrity, and availability of the backup ensured?"
Q-075,caiq|bcr,Can backups be restored appropriately for resiliency?
Q-076,caiq|bcr,"Is a disaster response plan established, documented, approved, applied, evaluated,
and maintained to ensure recovery from natural and man-made disasters?"
Q-077,caiq|bcr,"Is the disaster response plan updated at least annually, and when significant
changes occur?"
Q-078,caiq|bcr,"Is the disaster response plan exercised annually or when significant changes
occur?"
Q-079,caiq|bcr,"Are local emergency authorities included, if possible, in the exercise?"
Q-080,caiq|bcr,"Are business-critical equipment supplemented with both locally redundant and geographically dispersed 
equipment located at a reasonable minimum distance, in accordance with applicable industry standards?"
Q-081,caiq|ccc,"Are policies and procedures for managing the risks associated with applying changes to assets owned, controlled, 
or used by the organization established, documented, approved, communicated, applied, evaluated, and maintained?"
Q-082,caiq|ccc,"Are the policies and procedures reviewed and updated at least annually, or upon significant changes?"
Q-083,caiq|ccc,"Is a defined quality change control, approval and testing process, incorporating baselines, testing, 
and release standards, established, maintained and implemented?"
Q-084,caiq|ccc,"Is a change management procedure implemented to manage the risks associated with applying changes to assets, 
owned, controlled or used by the organization?"
Q-085,caiq|ccc,"Is a procedure to authorize the addition, removal, update, and management of assets owned, controlled, or 
used by the organization, implemented and enforced?"
Q-086,caiq|ccc,"Are provisions to limit changes directly impacting service customer-owned environments (tenants) to explicitly 
authorized requests included within service level agreements?"
Q-087,caiq|ccc,"Are change management and configuration baselines established, documented and implemented for all relevant 
authorized changes on organizational assets?"
Q-088,caiq|ccc,Are the baselines reviewed and updated at least annually or upon significant changes?
Q-089,caiq|ccc,"Are detection measures implemented with proactive notification if changes
deviate from established baselines?"
Q-090,caiq|ccc,"Is a procedure implemented to manage exceptions, including emergencies, in
the change and configuration process?"
Q-091,caiq|ccc,"Is the procedure aligned with the requirements of the GRC-04: Policy Exception
Process?"
Q-092,caiq|ccc,"Is a process to proactively roll back changes to a previously known ""good
state"" defined and implemented in case of errors or security concerns?"
Q-093,caiq|cek,"Are cryptography, encryption, and key management policies and procedures established,
documented, approved, communicated, applied, evaluated, and maintained?"
Q-094,caiq|cek,"Are cryptography, encryption, and key management policies and procedures reviewed
and updated at least annually, upon significant changes?"
Q-095,caiq|cek,"Are cryptography, encryption, and key management roles and responsibilities
defined and implemented?"
Q-096,caiq|cek,"Are data protection at-rest and in-transit, and where applicable in use, provided using 
cryptographic libraries certified to approved standards?"
Q-097,caiq|cek,"Are encryption algorithms following industry standards utilized for protecting data, based on the 
data classification and associated risks?"
Q-098,caiq|cek,"Are standard change management procedures established to review, approve,
implement and communicate cryptography, encryption, and key management technology
changes that accommodate internal and external sources?"
Q-099,caiq|cek,"Are changes to cryptography-, encryption- and key management-related systems,
policies, and procedures, managed and adopted in a manner that fully accounts
for downstream effects of proposed changes, including residual risk, cost, and
benefits analysis?"
Q-100,caiq|cek,"Is a cryptography, encryption, and key management risk program established
and maintained that includes risk assessment, risk treatment, risk context, monitoring,
and feedback provisions?"
Q-101,caiq|cek,Are service providers providing service customers with the capacity to manage their own data encryption keys?
Q-102,caiq|cek,"Are encryption and key management systems, policies, and processes audited
with a frequency proportional to the system's risk exposure, and after any security
event?"
Q-103,caiq|cek,"Are encryption and key management systems, policies, and processes audited
(preferably continuously but at least annually)?"
Q-104,caiq|cek,"Are cryptographic keys generated using industry-accepted and approved cryptographic
libraries that specify algorithm strength and random number generator specifications?"
Q-105,caiq|cek,"Are private keys provisioned for a unique purpose managed, and is cryptography
secret?"
Q-106,caiq|cek,"Are cryptographic keys rotated based on a cryptoperiod calculated while considering
information disclosure risks and legal and regulatory requirements?"
Q-107,caiq|cek,"Are cryptographic keys revoked and removed before the end of the established
cryptoperiod (when a key is compromised, or an entity is no longer part of the
organization) per defined, implemented, and evaluated processes, procedures, and
technical measures to include legal and regulatory requirement provisions?"
Q-108,caiq|cek,"Are processes, procedures and technical measures to securely destroy cryptographic keys 
when they are no longer needed, defined, implemented, and evaluated, and include provisions 
for legal and regulatory requirements?"
Q-109,caiq|cek,"Are processes, procedures, and technical measures to create keys in a pre-activated
state (i.e., when they have been generated but not authorized for use) being defined,
implemented, and evaluated to include legal and regulatory requirement provisions?"
Q-110,caiq|cek,"Are processes, procedures, and technical measures to monitor, review and approve
key transitions (e.g., from any state to/from suspension) being defined, implemented,
and evaluated to include legal and regulatory requirement provisions?"
Q-111,caiq|cek,"Are processes, procedures, and technical measures to deactivate keys (at the
time of their expiration date) being defined, implemented, and evaluated to include
legal and regulatory requirement provisions?"
Q-112,caiq|cek,"Are processes, procedures, and technical measures to manage archived keys
in a secure repository (requiring least privilege access) being defined, implemented,
and evaluated to include legal and regulatory requirement provisions?"
Q-113,caiq|cek,"Are processes, procedures, and technical measures to use compromised keys to
encrypt information in specific scenarios (e.g., only in controlled circumstances
and thereafter only for data decryption and never for encryption) defined,
implemented, and evaluated to include legal and regulatory requirement provisions?"
Q-114,caiq|cek,"Are processes, procedures, and technical measures to assess operational continuity
risks (versus the risk of losing control of keying material and exposing protected
data) being defined, implemented, and evaluated to include legal and regulatory
requirement provisions?"
Q-115,caiq|cek,"Are key management system processes, procedures, and technical measures being
defined, implemented, and evaluated to track and report all cryptographic materials
and status changes that include legal and regulatory requirements provisions?"
Q-116,caiq|dcs,"Are policies and procedures for physical and environmental security established, documented, 
approved, communicated, applied, evaluated, and maintained?"
Q-117,caiq|dcs,"Are policies and procedures for physical and environmental security reviewed and updated at 
least annually, or upon significant changes?"
Q-118,caiq|dcs,"Are policies and procedures for the secure disposal of equipment used outside
the organization's premises established, documented, approved, communicated, enforced,
and maintained?"
Q-119,caiq|dcs,"Is a data destruction procedure applied that renders information recovery
information impossible if equipment is not physically destroyed?"
Q-120,caiq|dcs,"Are policies and procedures for the secure disposal of equipment used outside
the organization's premises reviewed and updated at least annually or upon significant changes?"
Q-121,caiq|dcs,"Are policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location established, documented,
approved, communicated, implemented, enforced, maintained?"
Q-122,caiq|dcs,"Does a relocation or transfer request require written or cryptographically
verifiable authorization?"
Q-123,caiq|dcs,"Are policies and procedures for the relocation or transfer of hardware, software,
or data/information to an offsite or alternate location reviewed and updated at
least annually, or upon significant changes?"
Q-124,caiq|dcs,"Are policies and procedures for maintaining a safe and secure working environment
(in offices, rooms, and facilities) established, documented, approved, communicated,
enforced, and maintained?"
Q-125,caiq|dcs,"Are policies and procedures for maintaining safe, secure working environments
(e.g., offices, rooms) reviewed and updated at least annually, or upon significant changes?"
Q-126,caiq|dcs,"Are policies and procedures for the secure transportation of physical media
established, documented, approved, communicated, enforced, evaluated, and maintained?"
Q-127,caiq|dcs,"Are policies and procedures for the secure transportation of physical media
reviewed and updated at least annually, or upon significant changes?"
Q-128,caiq|dcs,"Is the classification and documentation of physical and logical assets based
on the organizational business risk?"
Q-129,caiq|dcs,Are assets’ classifications reviewed and updated at least annually or upon significant changes?
Q-130,caiq|dcs,"Are all relevant physical and logical assets at all CSP sites cataloged and
tracked within a secured system?"
Q-131,caiq|dcs,Is the catalogue reviewed and updated at least annually or upon significant changes?
Q-132,caiq|dcs,"Are physical security perimeters designed and implemented to safeguard personnel, data,
and information systems?"
Q-133,caiq|dcs,Is equipment identification used as a method for connection authentication?
Q-134,caiq|dcs,"Are solely authorized personnel able to access secure areas, with all ingress
and egress areas restricted, documented, and monitored by physical access control
mechanisms?"
Q-135,caiq|dcs,"Are access control records retained periodically, as deemed appropriate by
the organization?"
Q-136,caiq|dcs,"Are external perimeter datacenter surveillance systems and surveillance systems
at all ingress and egress points implemented, maintained, and operated?"
Q-137,caiq|dcs,"Are datacenter personnel trained to safely manage adverse events, including but not limited 
to unauthorized ingress and egress attempts?"
Q-138,caiq|dcs,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure risk-based protection of power and telecommunication cables
from interception, interference, or damage threats at all facilities, offices,
and rooms?"
Q-139,caiq|dcs,"Are data center environmental control systems designed to monitor, maintain,
and test that on-site temperature and humidity conditions fall within accepted
industry standards effectively implemented and maintained?"
Q-140,caiq|dcs,"Are utility services secured, monitored, maintained, and tested at planned
intervals for continual effectiveness?"
Q-141,caiq|dcs,"Is business-critical equipment segregated from locations subject to a high
probability of environmental risk events?"
Q-142,caiq|dcs,"Are datacenter security metrics established, monitored, and reported to secure data center assets and services?"
Q-143,caiq|dcs,"Are processes, procedures, and technical measures defined, implemented, and evaluated to ensure continuous operations?"
Q-144,caiq|dsp,"Are policies and procedures established, documented, approved, communicated,
enforced, evaluated, and maintained for the preparation, classification, protection, and handling
of data throughout its lifecycle according to all applicable laws and regulations,
standards, and risk level?"
Q-145,caiq|dsp,"Are data security and privacy policies and procedures reviewed and updated
at least annually, or upon significant changes?"
Q-146,caiq|dsp,"Are industry-accepted methods applied for secure data disposal from storage
media so information is not recoverable by any forensic means?"
Q-147,caiq|dsp,"Is a data inventory created and maintained for sensitive, regulated and personal information
(at a minimum)?"
Q-148,caiq|dsp,Is the inventory reviewed and updated at least annually or upon significant changes?
Q-149,caiq|dsp,Is data classified according to type and sensitivity levels?
Q-150,caiq|dsp,"Is data flow documentation created to identify what data is processed and
where it is stored and transmitted?"
Q-151,caiq|dsp,"Is data flow documentation reviewed at defined intervals, at least annually,
or upon significant changes?"
Q-152,caiq|dsp,"Is the ownership and stewardship of all relevant personal and sensitive data
documented?"
Q-153,caiq|dsp,Is data ownership and stewardship documentation reviewed at least annually?
Q-154,caiq|dsp,"Are systems, products, and business practices based on security principles
by design and per industry best practices?"
Q-155,caiq|dsp,"Are systems, products, and business practices based on privacy principles
by design and according to industry best practices?"
Q-156,caiq|dsp,"Are systems' privacy settings configured by default and according to all applicable
laws and regulations?"
Q-157,caiq|dsp,"Is a data protection impact assessment (DPIA) conducted when processing personal
data and evaluating the origin, nature, particularity, and severity of risks according
to any applicable laws, regulations and industry best practices?"
Q-158,caiq|dsp,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure any transfer of personal or sensitive data is protected from
unauthorized access and only processed within scope (as permitted by respective
laws and regulations)?"
Q-159,caiq|dsp,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to enable data subjects to request access to, modify, or delete personal
data (per applicable laws and regulations)?"
Q-160,caiq|dsp,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure personal data is processed (per applicable laws and regulations
and for the purposes declared to the data subject)?"
Q-161,caiq|dsp,"Are processes, procedures, and technical measures defined, implemented, and
evaluated for the transfer and sub-processing of personal data within the service
supply chain (according to any applicable laws and regulations)?"
Q-162,caiq|dsp,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to disclose details to the data owner of any personal or sensitive data
access by sub-processors before processing initiation?"
Q-163,caiq|dsp,"Is authorization from data owners obtained, and the associated risk managed,
before replicating or using production data in non-production environments?"
Q-164,caiq|dsp,"Do data retention, archiving, and deletion practices follow business requirements,
applicable laws, and regulations?"
Q-165,caiq|dsp,"Are processes, procedures, and technical measures defined and implemented
to protect sensitive data throughout its lifecycle?"
Q-166,caiq|dsp,"Does the service provider ensure that a procedure is in place and communicated to service customers 
for managing and responding to requests by law enforcement authorities for the disclosure of 
personal data, in accordance with applicable laws and regulations?"
Q-167,caiq|dsp,"Are processes, procedures, and technical measures defined and implemented
to specify and document physical data locations, including locales where data
is processed or backed up?"
Q-168,caiq|grc,"Are information governance program policies and procedures sponsored by organizational
leadership established, documented, approved, communicated, applied, evaluated,
and maintained?"
Q-169,caiq|grc,"Are the policies and procedures reviewed and updated at least annually, or upon significant changes?"
Q-170,caiq|grc,"Is there an established and maintained formal, documented, and leadership-sponsored enterprise
risk management (ERM) program that includes policies and procedures for identification,
evaluation, ownership, treatment, and acceptance of risks?"
Q-171,caiq|grc,"Are all relevant organizational policies and associated procedures reviewed
at least annually, or when a substantial organizational change occurs?"
Q-172,caiq|grc,"Is an approved exception process mandated by the governance program established
and followed whenever a deviation from an established policy occurs?"
Q-173,caiq|grc,"Has an information security program (including programs of all relevant CCM
domains) been developed and implemented?"
Q-174,caiq|grc,"Are roles and responsibilities for planning, implementing, operating, assessing,
and improving governance programs defined and documented?"
Q-175,caiq|grc,"Are all relevant standards, regulations, legal/contractual, and statutory
requirements applicable to your organization identified and documented?"
Q-176,caiq|grc,Are the identified requirements reviewed at least annually or upon significant changes?
Q-177,caiq|grc,"Is contact established and maintained with related special interest
groups and other relevant entities?"
Q-178,caiq|hrs,"Are background verification policies and procedures of all new employees (including
but not limited to remote employees, contractors, and third parties) established,
documented, approved, communicated, applied, evaluated, and maintained?"
Q-179,caiq|hrs,"Are background verification policies and procedures designed according to
local laws, regulations, ethics, and contractual constraints and proportional
to the data classification to be accessed, business requirements, and acceptable
risk?"
Q-180,caiq|hrs,"Are background verification policies and procedures reviewed and updated at
least annually, or upon significant changes?"
Q-181,caiq|hrs,"Are policies and procedures for defining allowances and conditions for the
acceptable use of organizationally-owned or managed assets established, documented,
approved, communicated, applied, evaluated, and maintained?"
Q-182,caiq|hrs,"Are the policies and procedures for defining allowances and conditions for
the acceptable use of organizationally-owned or managed assets reviewed and updated
at least annually, or upon significant changes?"
Q-183,caiq|hrs,"Are policies and procedures requiring unattended workspaces to conceal confidential
data established, documented, approved, communicated, applied, evaluated, and
maintained?"
Q-184,caiq|hrs,"Are policies and procedures requiring unattended workspaces to conceal confidential
data reviewed and updated at least annually, or upon significant changes?"
Q-185,caiq|hrs,"Are policies and procedures to protect information accessed, processed, or
stored at remote sites and locations established, documented, approved, communicated,
applied, evaluated, and maintained?"
Q-186,caiq|hrs,"Are policies and procedures to protect information accessed, processed, or
stored at remote sites and locations reviewed and updated at least annually, or upon significant changes?"
Q-187,caiq|hrs,"Are return procedures of organizationally-owned assets by terminated employees
established and documented?"
Q-188,caiq|hrs,"Are procedures outlining the roles and responsibilities concerning changes
in employment established, documented, and communicated to all relevant personnel?"
Q-189,caiq|hrs,"Are employees required to sign an employment agreement before gaining access
to organizational information systems, resources, and assets?"
Q-190,caiq|hrs,"Are provisions and/or terms for adherence to established information governance
and security policies included within employment agreements?"
Q-191,caiq|hrs,"Are employee roles and responsibilities relating to information assets' security 
and privacy, established, documented and communicated?"
Q-192,caiq|hrs,"Are requirements for non-disclosure/confidentiality agreements reflecting
organizational data protection needs and operational details identified, documented,
and reviewed at planned intervals?"
Q-193,caiq|hrs,"Is a security awareness training program for all employees of the organization
established, documented, approved, communicated, applied, evaluated and maintained?"
Q-194,caiq|hrs,Are regular security awareness training updates provided?
Q-195,caiq|hrs,"Are employees granted access to sensitive organizational and personal
data provided with appropriate security awareness training?"
Q-196,caiq|hrs,"Are employees granted access to sensitive organizational and personal
data provided with regular updates in procedures, processes, and policies relating
to their professional function?"
Q-197,caiq|hrs,"Are employees notified of their roles and responsibilities to maintain awareness
and compliance with established policies, procedures, and applicable legal, statutory,
or regulatory compliance obligations?"
Q-198,caiq|iam,"Are identity and access management policies and procedures established, documented,
approved, communicated, implemented, applied, evaluated, and maintained?"
Q-199,caiq|iam,"Are identity and access management policies and procedures reviewed and updated
at least annually, or upon significant changes?"
Q-200,caiq|iam,"Are policies and procedures for the management of authentication credentials, 
including passwords, established, documented,  approved, communicated, implemented, applied, evaluated, and maintained?"
Q-201,caiq|iam,"Are policies and procedures reviewed and updated at least annually, or upon significant changes?"
Q-202,caiq|iam,"Is the inventory of identities managed, stored, and regularly reviewed, and is their level of access monitored?"
Q-203,caiq|iam,"Is the separation of duties principle employed when implementing information
system access?"
Q-204,caiq|iam,"Is the least privilege principle employed when implementing information system
access?"
Q-205,caiq|iam,"Is an identity access provisioning process defined and implemented which 
authorizes, records, and communicates data and assets access changes?"
Q-206,caiq|iam,Is a process in place to de-provision or modify identity access in a timely manner?
Q-207,caiq|iam,"Are reviews and revalidation of identity access for least privilege and separation of duties 
completed with a frequency commensurate with organizational risk tolerance, and 
at least annually or upon significant changes?"
Q-208,caiq|iam,"Are processes, procedures, and technical measures for the segregation of privileged
access roles defined, implemented, and evaluated?"
Q-209,caiq|iam,"Is an access process defined and implemented to ensure privileged access roles
and rights are granted for a limited period?"
Q-210,caiq|iam,Are procedures implemented to prevent the accumulation of segregated privileged access?
Q-211,caiq|iam,"Are processes and procedures for service customers to participate, where applicable, in 
granting access for agreed, high risk as (defined by the organizational risk assessment) 
privileged access roles defined, implemented and evaluated?"
Q-212,caiq|iam,"Are processes, procedures, and technical measures that ensure identities' activities are 
identifiable through uniquely associated IDs defined, implemented, and evaluated?"
Q-213,caiq|iam,"Are processes, procedures, and technical measures for authenticating access
to systems, application, and data assets including multifactor authentication
for a least-privileged user and sensitive data access defined, implemented, and
evaluated?"
Q-214,caiq|iam,"Are digital certificates or alternatives that achieve an equivalent security
level for system identities adopted?"
Q-215,caiq|iam,"Are processes, procedures, and technical measures for the secure management 
of authentication credentials, including passwords, defined, implemented, and evaluated?"
Q-216,caiq|iam,"Are processes, procedures, and technical measures to verify access to data
and system functions authorized, defined, implemented, and evaluated?"
Q-217,caiq|ipy,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for communications between application interfaces
(e.g., APIs)?"
Q-218,caiq|ipy,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for information processing interoperability?"
Q-219,caiq|ipy,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for application development portability?"
Q-220,caiq|ipy,"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for information/data exchange, usage, portability,
integrity, and persistence?"
Q-221,caiq|ipy,"Are interoperability and portability policies and procedures reviewed and
updated at least annually, or upon significant changes?"
Q-222,caiq|ipy,"Are service customers able to programmatically retrieve their data via an application interface(s)
to enable interoperability and portability?"
Q-223,caiq|ipy,"Are cryptographically secure network protocols implemented for the management, import, and export 
of data in accordance with industry standards?"
Q-224,caiq|ipy,"Do agreements include provisions specifying service customers' data access upon contract termination, and have the following?
a. Data format
b. Duration data will be stored
c. Scope of the data retained and made available to the service customers
d. Data deletion policy"
Q-225,caiq|i&s,"Are infrastructure and virtualization security policies and procedures established,
documented, approved, communicated, applied, evaluated, and maintained?"
Q-226,caiq|i&s,"Are infrastructure and virtualization security policies and procedures reviewed
and updated at least annually, or upon significant changes?"
Q-227,caiq|i&s,"Is resource availability, quality, and capacity planned and monitored in a
way that delivers required system performance, as determined by the business?"
Q-228,caiq|i&s,"Are communications between environments, services, and applications monitored?"
Q-229,caiq|i&s,"Are communications between environments, services, and applications encrypted?"
Q-230,caiq|i&s,"Are communications between environments, services, and applications restricted to 
only authenticated and authorized connections, as justified by the business?"
Q-231,caiq|i&s,Are network configurations reviewed at least annually?
Q-232,caiq|i&s,"Are network configurations supported by the documented justification of all
allowed services, protocols, ports, and compensating controls?"
Q-233,caiq|i&s,"Is every host and guest OS, hypervisor, or infrastructure control plane hardened
(according to their respective best practices) and supported by technical controls
as part of a security baseline?"
Q-234,caiq|i&s,"Are the environments separated into production and non production environments to reduce the risk of sensitive 
production data being used in non-production environments?"
Q-235,caiq|i&s,Is production data sanitized or protected before being used for any authorized non-production purpose?
Q-236,caiq|i&s,"Are applications and infrastructures designed, developed, deployed, and configured such that service customer (tenant) 
access is appropriately segmented, segregated, monitored, and restricted?"
Q-237,caiq|i&s,"Are secure and encrypted communication channels including only up-to-date
and approved protocols used when migrating servers, services, applications, or
data to cloud environments?"
Q-238,caiq|i&s,"Are high-risk environments identified and documented based on 
data sensitivity, threat exposure, and business impact?"
Q-239,caiq|i&s,"Are processes, procedures, and defense-in-depth techniques defined, implemented,
and evaluated for protection, detection, and timely response to network-based
attacks?"
Q-240,caiq|log,"Are logging and monitoring policies and procedures established, documented,
approved, communicated, applied, evaluated, and maintained?"
Q-241,caiq|log,"Are policies and procedures reviewed and updated at least annually, or upon significant changes?"
Q-242,caiq|log,"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure audit log security and retention?"
Q-243,caiq|log,"Are security-related events identified and monitored within applications and
the underlying infrastructure?"
Q-244,caiq|log,"Is a system defined and implemented to generate alerts to responsible stakeholders
based on security events and their corresponding metrics?"
Q-245,caiq|log,"Is audit log access restricted to authorized identities, and are records of that access maintained?"
Q-246,caiq|log,"Are capabilities implemented and maintained to correlate and monitor security audit logs for the 
detection of suspicious or anomalous activity that deviates from typical or expected patterns?"
Q-247,caiq|log,"Is a process established and followed to review and take appropriate and timely
actions on detected anomalies?"
Q-248,caiq|log,"Is a reliable time source being used across all relevant information processing
systems?"
Q-249,caiq|log,"Are logging requirements for information meta/data system events established,
documented, and implemented?"
Q-250,caiq|log,"Is the scope reviewed and updated at least annually, or whenever there is a 
change in the threat environment and as per relevant regulatory requirements?"
Q-251,caiq|log,"Are technical measures defined, implemented, and evaluated to enable service customers to 
detect and scrub or tokenize sensitive data from logs, in order to prevent unauthorized 
exposure as per applicable laws and regulations?"
Q-252,caiq|log,"Are audit records generated, and do they contain relevant security information?"
Q-253,caiq|log,"Are audit records protected from unauthorized access, modification, and deletion?"
Q-254,caiq|log,"Are monitoring and internal reporting capabilities established to report on
cryptographic operations, encryption, and key management policies, processes,
procedures, and controls?"
Q-255,caiq|log,"Are key lifecycle management events logged and monitored to enable auditing
and reporting on cryptographic keys' usage?"
Q-256,caiq|log,"Is physical access logged and monitored using an auditable access control
system?"
Q-257,caiq|log,"Are processes and technical measures for reporting monitoring system anomalies
and failures defined, implemented, and evaluated?"
Q-258,caiq|log,Are accountable parties immediately notified about anomalies and failures?
Q-259,caiq|sef,"Are policies and procedures for security incident management, e-discovery,
and cloud forensics established, documented, approved, communicated, applied,
evaluated, and maintained?"
Q-260,caiq|sef,"Are policies and procedures reviewed and updated annually, or upon significant changes?"
Q-261,caiq|sef,"Are policies and procedures for timely management of security incidents established,
documented, approved, communicated, applied, evaluated, and maintained?"
Q-262,caiq|sef,"Are policies and procedures for timely management of security incidents reviewed
and updated at least annually, or upon significant changes?"
Q-263,caiq|sef,"Is a security incident response plan that includes a communication strategy for notifying 
relevant internal departments, impacted service customers, and other business-critical 
relationships (such as supply-chain) established, documented, approved, communicated, applied, evaluated, and maintained?"
